採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,採樣日期_clean, 差異天數 ,採樣年,採樣月,採樣日,測站編號,經度(TWD97),緯度(TWD97),上下游_新竹,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
東港溪流域,東港溪,屏東縣,潮州大橋,乙,2013/1/2 上午 11:00:00,2013/1/2,,2013,1,2,1207,120.539661,22.563788,,2.8,25.7,22.8,7.5,417,,6.8,79,1.8,8.2,35.2,27000,1.88,,,,,,,,,,,,,,,,,,,,
東港溪流域,東港溪,屏東縣,興社大橋,乙,2013/1/2 下午 12:00:00,2013/1/2,,2013,1,2,1208,120.504164,22.542199,,6.3,25.5,22.9,7.7,536,,5,57.3,6,20.9,92.4,220000,4.26,,,,,,,,,,,,,,,,,,,,
東港溪流域,東港溪,屏東縣,港西抽水站,乙,2013/1/2 下午 01:10:00,2013/1/2,,2013,1,2,1209,120.462007,22.504523,,5.5,25.3,22.4,7.5,604,,2.3,26.1,4.3,16.4,21.5,100000,5.97,,,,,,,,,,,,,,,,,,,,
東港溪流域,東港溪,屏東縣,東港大橋,丙,2013/1/2 下午 01:30:00,2013/1/2,,2013,1,2,1210,120.459635,22.477717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
林邊溪流域,林邊溪,屏東縣,新埤大橋,乙,2013/1/2 下午 01:42:00,2013/1/2,,2013,1,2,1211,120.55042,22.461197,,2,24.8,25.5,7.7,472,,6.8,82.1,2.8,6.6,37.4,2900,0.58,,,,,,,,,,,,,,,,,,,,
高屏溪流域,高屏溪,屏東縣,昌農橋,乙,2013/1/3 下午 02:50:00,2013/1/3,,2013,1,3,1333,120.458029,22.630278,,4.5,23.6,25.5,7.9,691,,6.7,81.6,11.8,16.1,16.4,260000,4.27,,,,,,,,,,,,,,,,,,,,
朴子溪流域,朴子溪,嘉義市,牛稠溪橋,丙,2013/1/5 下午 12:40:00,2013/1/5,,2013,1,5,1154,120.443403,23.513764,,4.5,25.8,21.8,7.9,795,,7.8,88.4,6,28.6,9.2,37000,15.9,,,,,,,,,,,,,,,,,,,,
朴子溪流域,朴子溪,嘉義縣,月眉潭橋,丁,2013/1/5 下午 01:45:00,2013/1/5,,2013,1,5,1155,120.360416,23.514091,,5.8,22.6,22.9,7.8,1440,,3.1,35.8,7,32.5,8.7,560000,17.7,,,,,,,,,,,,,,,,,,,,
朴子溪流域,朴子溪,嘉義縣,介壽橋,丁,2013/1/5 下午 02:00:00,2013/1/5,,2013,1,5,1156,120.29326,23.48206,,5.5,24.9,21,7.7,1380,,3.7,41.3,4.6,28.2,22.7,290000,18,,,,,,,,,,,,,,,,,,,,
朴子溪流域,朴子溪,嘉義縣,朴子溪橋,丁,2013/1/5 下午 02:50:00,2013/1/5,,2013,1,5,1157,120.245061,23.475606,,5,24.5,20.4,8.3,1310,,9.2,102.7,7.5,36.3,33.4,10000,18.2,,,,,,,,,,,,,,,,,,,,
朴子溪流域,朴子溪,嘉義縣,東石大橋,丁,2013/1/5 上午 08:55:00,2013/1/5,,2013,1,5,1158,120.177429,23.459245,,3.8,16.5,16.9,8.1,21800,,7.6,84.5,2,19,33.1,550,8.68,7420,,,,,,,,,,,,,,,,,,,
八掌溪流域,八掌溪,嘉義縣,觸口橋,甲,2013/1/5 上午 10:30:00,2013/1/5,,2013,1,5,1159,120.605581,23.438976,,1.5,17.8,17.7,8.6,527,,9.7,101.8,1,4,25.3,22000,0.05,,,,,,,,,,,,,,,,,,,,
八掌溪流域,八掌溪,嘉義縣,五虎寮橋(取代舊橋),甲,2013/1/5 上午 10:40:00,2013/1/5,,2013,1,5,1160,120.553694,23.450925,,1,21.1,18.4,8.6,566,,10,107.9,1,4,17.3,500,0.02,,,,,,,,,,,,,,,,,,,,
八掌溪流域,八掌溪,嘉義市,軍輝橋,丙,2013/1/5 上午 11:30:00,2013/1/5,,2013,1,5,1161,120.458135,23.458554,,1.5,24.5,21.4,8.4,717,,10.4,117.8,3.4,13.4,3.8,41000,0.26,,,,,,,,,,,,,,,,,,,,
八掌溪流域,八掌溪,嘉義縣,八掌溪橋,丙,2013/1/5 上午 11:43:00,2013/1/5,,2013,1,5,1162,120.381719,23.403818,,3.8,26.1,21.9,7.8,900,,6.5,74.1,3.8,18.6,10.4,210000,7.05,,,,,,,,,,,,,,,,,,,,
八掌溪流域,八掌溪,台南市,厚生橋,丙,2013/1/5 下午 02:15:00,2013/1/5,,2013,1,5,1163,120.253036,23.328537,,3.3,23.9,21.7,8.1,974,,9.4,106.7,2.1,16.6,15.8,3500,6.34,,,,,,,,,,,,,,,,,,,,
八掌溪流域,八掌溪,台南市,嘉南大橋,丙,2013/1/5 上午 08:20:00,2013/1/5,,2013,1,5,1164,120.153294,23.313528,,5,17.5,17.4,8.4,6880,,8.9,94.5,4.7,36.3,61.8,1200,5.66,1870,,,,,,,,,,,,,,,,,,,
急水溪流域,急水溪,台南市,甘宅二號橋(原為木屐寮),乙,2013/1/5 上午 10:50:00,2013/1/5,,2013,1,5,1165,120.454236,23.363009,,1,22.6,20,8.4,409,,9.8,107.7,1,5.4,4.3,340,0.02,,,,,,,,,,,,,,,,,,,,
急水溪流域,急水溪,台南市,青葉橋,乙,2013/1/5 上午 11:55:00,2013/1/5,,2013,1,5,1166,120.407188,23.338694,,4.3,23.2,20.3,8,652,,5,55.6,2.5,16.7,23.4,60000,8.58,,,,,,,,,,,,,,,,,,,,
急水溪流域,急水溪,台南市,台1線急水溪橋,丁,2013/1/5 下午 12:55:00,2013/1/5,,2013,1,5,1167,120.32414,23.296115,,4.5,26.5,20.7,7.8,933,,4.4,49.6,2.5,18.5,11.7,6300,6.56,,,,,,,,,,,,,,,,,,,,
急水溪流域,急水溪,台南市,宅港橋,丁,2013/1/5 上午 09:20:00,2013/1/5,,2013,1,5,1168,120.204113,23.253341,,6.8,17.5,18.5,7.8,11500,,1.4,15.4,8.7,57.6,18.6,65000,9.68,4040,,,,,,,,,,,,,,,,,,,
急水溪流域,急水溪,台南市,五王大橋(原為南鯤鯓),丙,2013/1/5 上午 08:20:00,2013/1/5,,2013,1,5,1169,120.144303,23.291588,,4.3,16.9,17.3,7.9,35600,,6,70.7,2.6,24.8,34.8,1800,4.29,12600,,,,,,,,,,,,,,,,,,,
阿公店溪流域,阿公店溪,高雄市,阿公店橋,丁,2013/1/2 下午 01:35:00,2013/1/2,,2013,1,2,1198,120.297103,22.785305,,7.3,26.4,22.3,7.2,1550,,3.6,40.6,40.4,85.3,20.8,1600000,37.4,,,,,,,,,,,,,,,,,,,,
阿公店溪流域,阿公店溪,高雄市,舊港橋,丁,2013/1/2 下午 05:00:00,2013/1/2,,2013,1,2,1199,120.232127,22.800742,,5.8,23.8,20.7,7.8,4270,,3.7,42.1,8.4,37.3,11,390000,24.9,1140,,,,,,,,,,,,,,,,,,,
林邊溪流域,林邊溪,屏東縣,林邊大橋,乙,2013/1/2 下午 02:55:00,2013/1/2,,2013,1,2,1212,120.523266,22.430817,,5.5,24.3,24.4,8,547,,5.2,61.9,6.5,16.2,26.6,270000,3.48,13.2,,,,,,,,,,,,,,,,,,,
率芒溪流域,率芒溪,屏東縣,枋寮大橋,－,2013/1/2 下午 12:06:00,2013/1/2,,2013,1,2,1213,120.611752,22.343299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
枋山溪流域,枋山溪,屏東縣,枋山大橋(原為枋山橋),－,2013/1/2 上午 11:40:00,2013/1/2,,2013,1,2,1214,120.654067,22.256099,,1,25.4,25.3,8.6,345,,10.6,129,1,4,2.3,55,0.03,,,,,,,,,,,,,,,,,,,,
楓港溪流域,楓港溪,屏東縣,巴士墨段橋(取代伊屯吊橋),－,2013/1/2 上午 09:44:00,2013/1/2,,2013,1,2,1215,120.739285,22.208328,,1,24.8,20.5,7.9,186,,9.7,108,1,4,8,550,0.01,,,,,,,,,,,,,,,,,,,,
楓港溪流域,楓港溪,屏東縣,楓港溪橋,－,2013/1/2 上午 10:40:00,2013/1/2,,2013,1,2,1216,120.691168,22.195861,,1,25.2,21.6,7.9,250,,9.1,102.2,1,4,6.8,75,0.01,,,,,,,,,,,,,,,,,,,,
四重溪流域,四重溪,屏東縣,石門村過四重溪水泥橋(原為石門),乙,2013/1/2 上午 10:00:00,2013/1/2,,2013,1,2,1217,120.76334,22.113596,,1,22.6,20.7,8.2,445,,10,112,1,4,1.2,1000,0.09,,,,,,,,,,,,,,,,,,,,
卑南溪流域,卑南溪,台東縣,初來橋,乙,2013/1/4 上午 09:37:00,2013/1/4,,2013,1,4,1256,121.169128,23.125638,,1,17.4,17.9,8.2,520,,9.4,101.9,1,4,3.4,120,0.01,,,,,,,,,,,,,,,,,,,,
利嘉溪流域,利嘉溪,台東縣,新園橋(原為大南橋),－,2013/1/3 下午 01:35:00,2013/1/3,,2013,1,3,1262,121.049225,22.760792,,1,20.4,18.5,8.4,347,,9.6,102.9,1,4,3.1,150,0.01,,,,,,,,,,,,,,,,,,,,
港口溪流域,港口溪,屏東縣,港口橋,－,2013/1/2 上午 11:45:00,2013/1/2,,2013,1,2,1266,120.819197,22.001496,,1,26.3,21.1,8.3,355,,10,112.4,1.2,4,16.6,660,0.02,,,,,,,,,,,,,,,,,,,,
急水溪流域,急水溪,台南市,台19甲急水溪橋,丁,2013/1/5 下午 01:10:00,2013/1/5,,2013,1,5,1302,120.277382,23.260893,,7.3,28.6,22.2,7.6,1370,,1,11.2,13.2,81.5,30.8,440000,12.8,,,,,,,,,,,,,,,,,,,,
急水溪流域,急水溪,台南市,二港橋,丙,2013/1/5 上午 08:35:00,2013/1/5,,2013,1,5,1303,120.190427,23.26604,,5.5,17.5,17.8,7.8,20000,,3.7,41.5,4,38.3,30.8,25000,7.44,7990,,,,,,,,,,,,,,,,,,,
高屏溪流域,高屏溪,高雄市,萬大大橋,乙,2013/1/3 下午 03:42:00,2013/1/3,,2013,1,3,1656,120.439785,22.593359,,,23,23.3,8,601,,6.8,79.9,,17,106,55000,3.44,,,,,,,,,,,,,,,,,,,,「生化需氧量」測值研判有系統性誤差，不予採用
高屏溪流域,高屏溪,屏東縣,里港大橋,乙,2013/1/3 下午 01:50:00,2013/1/3,,2013,1,3,1200,120.503391,22.794479,,3.8,23.6,23.1,7.9,578,,7.2,84.1,3.3,10.8,302,19000,0.15,,,,,,,,,,,,,,,,,,,,
卑南溪流域,卑南溪,台東縣,鹿鳴橋,乙,2013/1/4 上午 11:05:00,2013/1/4,,2013,1,4,1257,121.094199,22.891445,,3.3,20.5,19,8.2,504,,9,97.8,1,6.5,259,400,0.1,,,,,,,,,,,,,,,,,,,,
卑南溪流域,卑南溪,台東縣,台東大橋,乙,2013/1/4 下午 01:05:00,2013/1/4,,2013,1,4,1258,121.144475,22.792233,,2.3,23.4,20.4,8.3,521,,9.2,101.6,1,4.4,80.5,3000,0.03,,,,,,,,,,,,,,,,,,,,
太平溪流域,太平溪,台東縣,大巴六九巴取水口,－,2013/1/4 下午 12:00:00,2013/1/4,,2013,1,4,1259,121.057788,22.811128,,1,21.6,18.8,8.3,394,,9.4,103.3,1,4,1.6,55,0.01,,,,,,,,,,,,,,,,,,,,
太平溪流域,太平溪,台東縣,馬蘭橋,－,2013/1/4 下午 02:07:00,2013/1/4,,2013,1,4,1260,121.132595,22.765981,,3.3,24.6,20.6,8.4,472,,8.8,97.7,1.8,7.5,119,25000,0.11,,,,,,,,,,,,,,,,,,,,
太平溪流域,太平溪,台東縣,豐里橋,－,2013/1/4 下午 03:00:00,2013/1/4,,2013,1,4,1261,121.142327,22.746449,,6,22.8,20.5,8.3,508,,7.7,84.9,15.7,43.7,149,360000,0.64,,,,,,,,,,,,,,,,,,,,
利嘉溪流域,利嘉溪,台東縣,豐源大橋,－,2013/1/3 下午 02:25:00,2013/1/3,,2013,1,3,1263,121.095198,22.723466,,3.3,20.5,19.5,8.4,498,,9.3,101.1,1.1,4.9,120,20000,0.06,,,,,,,,,,,,,,,,,,,,
知本溪流域,知本溪,台東縣,知本溫泉橋,－,2013/1/3 下午 12:20:00,2013/1/3,,2013,1,3,1264,121.02183,22.69446,,2.3,21.3,19.8,8.2,411,,9.3,101.3,1,4,99.1,3000,0.11,,,,,,,,,,,,,,,,,,,,
知本溪流域,知本溪,台東縣,知本橋,－,2013/1/3 下午 12:52:00,2013/1/3,,2013,1,3,1265,121.0396,22.701396,,3.3,21.1,20.1,8.2,407,,9.2,100.4,1,4,125,4500,0.08,,,,,,,,,,,,,,,,,,,,
曾文溪流域,曾文溪,台南市,曾文一橋(原為曾文一號橋),乙,2013/1/7 下午 12:10:00,2013/1/7,,2013,1,7,1175,120.488093,23.192301,,1,27.8,23.6,8.2,625,,8.4,100.3,1,6,10.6,160,0.01,,,,,,,,,,,,,,,,,,,,
二仁溪流域,二仁溪,台南市,網寮橋(原為建國村),丁,2013/1/7 下午 02:00:00,2013/1/7,,2013,1,7,1304,120.2506,22.998721,,8.3,25.8,25.4,7.8,914,,1.2,14.9,41,90.1,21.6,9700000,27.4,,,,,,,,,,,,,,,,,,,,
大甲溪流域,大甲溪,台中市,迎賓橋,甲,2013/1/7 上午 09:02:00,2013/1/7,,2013,1,7,1637,121.308152,24.347773,,1,8.6,10.1,8.3,236,,9.5,102.4,1,4,1.1,55,0.01,,,,,,,,,,,,,,,,,,,,
東港溪流域,東港溪,屏東縣,隴東橋(原為龍東橋),乙,2013/1/2 上午 10:00:00,2013/1/2,,2013,1,2,1206,120.582952,22.602935,,2,25.5,22.6,7.5,364,,6.9,79.6,2.4,4.4,23.4,26000,0.69,,,,,,,,,,,,,,,,,,,,
四重溪流域,四重溪,屏東縣,懷恩橋(原為二重溪),乙,2013/1/2 上午 10:25:00,2013/1/2,,2013,1,2,1218,120.740832,22.082792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保力溪流域,保力溪,屏東縣,龍潭橋(原為龍鑾潭),－,2013/1/2 下午 01:05:00,2013/1/2,,2013,1,2,1219,120.737884,21.988138,,2.3,26.1,23.7,8,716,,9.5,112.6,1,6.9,55.9,9500,0.09,,,,,,,,,,,,,,,,,,,,
保力溪流域,保力溪,屏東縣,臨海橋,－,2013/1/2 下午 02:00:00,2013/1/2,,2013,1,2,1220,120.712061,22.057771,,1.5,26.6,23.4,8.1,43400,,6.7,91.7,1.6,6.7,31.6,39000,0.39,15900,,,,,,,,,,,,,,,,,,,
港口溪流域,港口溪,屏東縣,海墘大橋,－,2013/1/2 下午 03:15:00,2013/1/2,,2013,1,2,1267,120.841085,21.988695,,1.5,25.9,22.5,8.1,9200,,8.1,97.5,1,4.4,26.9,3300,0.04,2950,,,,,,,,,,,,,,,,,,,
阿公店溪流域,阿公店溪,高雄市,前州橋,丁,2013/1/2 下午 03:50:00,2013/1/2,,2013,1,2,1268,120.279871,22.802938,,5.8,24.1,20.2,7.9,1430,,2.4,26.7,12.5,46.4,13,880000,20.9,,,,,,,,,,,,,,,,,,,,
淡水河流域,新店溪,新北市,直潭堰取水口,甲,2013/1/8 上午 10:45:00,2013/1/8,,2013,1,8,1347,121.533135,24.92541,,1,18.4,18.2,7.3,83,,9.7,102.5,1,4.5,4.6,3100,0.01,,,,,,,,,,,,,,,,,,,,
阿公店溪流域,阿公店溪,高雄市,阿公店出水口,乙,2013/1/2 下午 12:45:00,2013/1/2,,2013,1,2,1632,120.345329,22.811506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
烏溪流域,烏溪,彰化縣,福馬圳,乙,2013/1/8 下午 02:30:00,2013/1/8,,2013,1,8,1658,120.57532,24.104386,,1.5,20,20.2,7.4,432,,9.5,104.6,1.5,7,34.6,7400,0.26,,,,,,,,,,,,,,,,,,,,
阿公店溪流域,阿公店溪,高雄市,高速鐵路橋下游便橋,乙,2013/1/2 下午 01:00:00,2013/1/2,,2013,1,2,1663,120.32822,22.803889,,1.5,23.4,20.7,7.9,985,,6.7,73.9,1.9,10.8,9.2,3600,0.8,,,,,,,,,,,,,,,,,,,,
淡水河流域,基隆河,新北市,介壽橋,乙,2013/1/7 上午 09:25:00,2013/1/7,,2013,1,7,1005,121.8054,25.106404,,1,21,18.2,7.6,117,,9.6,102.1,1,4,5.3,20000,0.09,,,,,,,,,,,,,,,,,,,,
磺溪流域,磺溪,新北市,上磺溪橋,－,2013/1/7 上午 09:55:00,2013/1/7,,2013,1,7,1031,121.582273,25.179209,,1,17,17,3.2,429,,9.5,102.6,1,4,5.2,35,0.01,,,,,,,,,,,,,,,,,,,,
淡水河流域,大漢溪,桃園縣,後池堰,乙,2013/1/7 上午 07:55:00,2013/1/7,,2013,1,7,1036,121.251659,24.824189,,1,18.1,16.9,8,214,,9.4,99.2,1,4,5.6,190,0.01,,,,,,,,,,,,,,,,,,,,
大甲溪流域,大甲溪,台中市,松鶴橋(原為長青橋),甲,2013/1/7 上午 09:50:00,2013/1/7,,2013,1,7,1109,120.974694,24.17489,,1,21.4,18.3,8.4,181,,9.9,113.1,1,4,1.8,420,0.01,,,,,,,,,,,,,,,,,,,,
阿公店溪流域,阿公店溪,高雄市,蓬萊橋(原為阿公店溪),丁,2013/1/2 下午 12:20:00,2013/1/2,,2013,1,2,1197,120.36121,22.80325,,1.5,25.5,21.1,7.9,464,,6.2,69.3,1.3,4.8,3.4,220,0.02,,,,,,,,,,,,,,,,,,,,
高屏溪流域,高屏溪,高雄市,里嶺大橋(取代嶺口橋),乙,2013/1/3 下午 02:00:00,2013/1/3,,2013,1,3,1201,120.45271,22.770671,,4.5,23.9,23,8.1,539,,8,93.2,5.1,13.9,515,34000,0.14,,,,,,,,,,,,,,,,,,,,
高屏溪流域,高屏溪,高雄市,高屏大橋,乙,2013/1/3 下午 03:20:00,2013/1/3,,2013,1,3,1202,120.437411,22.647126,,5.8,23.6,22.8,8,580,,7.8,90.9,12.4,14.5,127,240000,2.15,,,,,,,,,,,,,,,,,,,,
高屏溪流域,高屏溪,高雄市,雙園大橋,乙,2013/1/3 下午 04:00:00,2013/1/3,,2013,1,3,1203,120.421321,22.498467,,6.3,25.3,22.9,7.9,677,,6,70,7.4,19.8,58.5,120000,4.74,20.2,,,,,,,,,,,,,,,,,,,
高屏溪流域,高屏溪,高雄市,月眉橋,乙,2013/1/3 上午 10:50:00,2013/1/3,,2013,1,3,1204,120.521716,22.961102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
淡水河流域,基隆河,台北市,中山橋,丁,2013/1/7 下午 01:55:00,2013/1/7,,2013,1,7,1280,121.525114,25.073887,,1,20.2,18.9,7.3,148,,7.5,80.3,1.2,8.2,15.8,240000,0.4,12.8,,,,,,,,,,,,,,,,,,,
北港溪流域,北港溪(雲),雲林縣,斗山橋,乙,2013/1/7 上午 10:50:00,2013/1/7,,2013,1,7,1300,120.567327,23.702749,,1.5,25.5,24.5,7.4,549,,8.2,97.8,1.6,7.1,7.1,700000,0.92,,,,,,,,,,,,,,,,,,,,
高屏溪流域,高屏溪,屏東縣,九如橋,乙,2013/1/3 下午 02:00:00,2013/1/3,,2013,1,3,1334,120.488756,22.724753,,7,24.9,23.8,7.6,621,,2.6,30.5,10.4,27.5,66.5,180000,6.63,,,,,,,,,,,,,,,,,,,,
高屏溪流域,高屏溪,高雄市,新旗尾橋,乙,2013/1/3 下午 12:35:00,2013/1/3,,2013,1,3,1335,120.487895,22.874008,,1.5,24,21.5,8.3,483,,10.2,115.9,1.5,7.2,33.4,2100,0.05,,,,,,,,,,,,,,,,,,,,
高屏溪流域,高屏溪,高雄市,旗南橋,乙,2013/1/3 下午 01:00:00,2013/1/3,,2013,1,3,1336,120.496608,22.86845,,,24.4,21.9,8,488,,8.4,95.4,,15.1,205,33000,0.11,,,,,,,,,,,,,,,,,,,,「生化需氧量」測值研判有系統性誤差，不予採用
高屏溪流域,高屏溪,高雄市,六龜大橋,甲,2013/1/3 上午 10:40:00,2013/1/3,,2013,1,3,1337,120.63828,22.995471,,4.5,23.2,20.1,8.2,450,,8.9,98.8,5.2,11,437,150,0.09,,,,,,,,,,,,,,,,,,,,
高屏溪流域,高屏溪,高雄市,大津橋,甲,2013/1/3 上午 11:30:00,2013/1/3,,2013,1,3,1338,120.648123,22.880076,,,22.8,21.6,8.2,510,,8.5,96.9,,6.1,95,60,0.02,,,,,,,,,,,,,,,,,,,,「生化需氧量」測值研判有系統性誤差，不予採用
高屏溪流域,高屏溪,屏東縣,南華大橋,乙,2013/1/3 上午 11:00:00,2013/1/3,,2013,1,3,1339,120.586198,22.766707,,3.3,26.6,23.9,8.2,539,,8.4,99.5,1,5,11000,10000,0.21,,,,,,,,,,,,,,,,,,,,
北港溪流域,北港溪(雲),雲林縣,梅南橋,乙,2013/1/7 上午 09:07:00,2013/1/7,,2013,1,7,1361,120.599998,23.700587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高屏溪流域,高屏溪,高雄市,新寮橋(原為新寮吊橋),乙,2013/1/3 上午 11:12:00,2013/1/3,,2013,1,3,1510,120.604181,22.878696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高屏溪流域,高屏溪,高雄市,甲仙取水口(取代四德大橋),甲,2013/1/3 上午 10:00:00,2013/1/3,,2013,1,3,1511,120.584325,23.0826203,,,21.9,20.2,8.5,435,,9,102,,8.1,4.4,140,0.01,,,,,,,,,,,,,,,,,,,,「生化需氧量」測值研判有系統性誤差，不予採用
高屏溪流域,高屏溪,高雄市,西門大橋,乙,2013/1/3 下午 12:00:00,2013/1/3,,2013,1,3,1512,120.535864,22.898644,,,24.6,21.5,8.3,474,,9.4,106.9,,12.1,95.3,34000,0.2,,,,,,,,,,,,,,,,,,,,「生化需氧量」測值研判有系統性誤差，不予採用
淡水河流域,淡水河本流,台北市,重陽大橋,丁,2013/1/8 下午 01:50:00,2013/1/8,,2013,1,8,1002,121.502797,25.084174,,3.3,17.4,18.7,7,171,,5.5,59,1,6,20.1,41000,2.07,13.3,,,,,,,,,,,,,,,,,,,
淡水河流域,淡水河本流,新北市,關渡大橋,丁,2013/1/8 下午 01:16:00,2013/1/8,,2013,1,8,1003,121.457237,25.124817,,2.8,17,18.6,7.2,2400,,6.1,64.9,1,9.8,17.5,230000,1.16,628,,,,,,,,,,,,,,,,,,,
淡水河流域,淡水河本流,新北市,淡水河口,丁,2013/1/8 下午 12:55:00,2013/1/8,,2013,1,8,1004,121.422745,25.170901,,2,16.8,18.4,7.6,15100,,6.4,73.7,1,9.6,16.3,36000,0.98,4830,,,,,,,,,,,,,,,,,,,
淡水河流域,基隆河,基隆市,暖江橋,乙,2013/1/7 上午 10:15:00,2013/1/7,,2013,1,7,1006,121.741629,25.102836,,1,20.8,18.6,7.5,137,,9.3,98.5,1,6.5,10,33000,0.3,,,,,,,,,,,,,,,,,,,,
淡水河流域,基隆河,基隆市,六合橋,乙,2013/1/7 上午 10:55:00,2013/1/7,,2013,1,7,1007,121.703759,25.094771,,1.5,20.8,18.8,7.5,142,,9.1,97.5,1.1,4,20.5,200000,0.26,,,,,,,,,,,,,,,,,,,,
淡水河流域,基隆河,基隆市,實踐橋,丙,2013/1/7 上午 11:35:00,2013/1/7,,2013,1,7,1008,121.693332,25.078781,,1,20.7,18.7,7.5,148,,9,95.6,1.2,4,14.2,250000,0.23,,,,,,,,,,,,,,,,,,,,
淡水河流域,基隆河,新北市,江北橋,丙,2013/1/7 下午 12:25:00,2013/1/7,,2013,1,7,1009,121.65564,25.068573,,1,20.7,18.7,7.5,142,,8.8,94.5,1,5,16.6,41000,0.18,,,,,,,,,,,,,,,,,,,,
淡水河流域,基隆河,台北市,民權大橋,丁,2013/1/7 下午 02:55:00,2013/1/7,,2013,1,7,1010,121.569516,25.063467,,1.5,20.7,18.7,7.5,141,,8.1,86.4,1.3,4,20.6,57000,0.28,12.5,,,,,,,,,,,,,,,,,,,
淡水河流域,基隆河,台北市,大直橋,丁,2013/1/7 下午 02:25:00,2013/1/7,,2013,1,7,1011,121.544454,25.076458,,1,20.4,18.7,7.4,144,,7.9,84.9,1.4,9.5,18.8,50000,0.35,12,,,,,,,,,,,,,,,,,,,
淡水河流域,基隆河,台北市,百齡橋,丁,2013/1/7 下午 01:25:00,2013/1/7,,2013,1,7,1012,121.513726,25.088435,,1.5,20,18.9,7.3,152,,7.1,75.7,1.8,5.5,15.8,250000,0.58,13,,,,,,,,,,,,,,,,,,,
淡水河流域,大漢溪,桃園縣,大溪橋,乙,2013/1/7 上午 08:45:00,2013/1/7,,2013,1,7,1013,121.283827,24.884674,,1,17.7,17.2,8,226,,9.6,101.2,1,4,9.4,2700,0.01,,,,,,,,,,,,,,,,,,,,
淡水河流域,大漢溪,新北市,板新取水口,乙,2013/1/7 上午 09:45:00,2013/1/7,,2013,1,7,1014,121.341425,24.930705,,1,17.9,17.2,8,234,,8.9,93.3,1,4,15.8,4200,0.19,,,,,,,,,,,,,,,,,,,,
淡水河流域,大漢溪,新北市,三鶯大橋,丙,2013/1/7 上午 10:35:00,2013/1/7,,2013,1,7,1015,121.353223,24.944761,,1,17.6,17.2,7.9,253,,8.9,90.9,1,4,17.2,6300,0.17,,,,,,,,,,,,,,,,,,,,
淡水河流域,大漢溪,新北市,浮洲橋,丙,2013/1/7 下午 01:55:00,2013/1/7,,2013,1,7,1016,121.436246,24.995073,,4,19.4,19.2,7.4,365,,3.9,42.8,4,15.2,12.4,3000000,2.3,24,,,,,,,,,,,,,,,,,,,
淡水河流域,大漢溪,新北市,新海大橋,丁,2013/1/7 下午 01:10:00,2013/1/7,,2013,1,7,1017,121.45462,25.032866,,6.8,19.4,18.8,7.3,375,,0.9,10.1,6.3,18.2,13.5,2600000,4.05,24,,,,,,,,,,,,,,,,,,,
淡水河流域,新店溪,新北市,中正橋,丙,2013/1/8 下午 03:25:00,2013/1/8,,2013,1,8,1019,121.514233,25.021307,,2.3,16.4,18.5,7.3,124,,8.1,86.1,1.3,5.5,9.4,230000,1.1,7.4,,,,,,,,,,,,,,,,,,,
淡水河流域,新店溪,新北市,華中大橋,丙,2013/1/8 下午 03:00:00,2013/1/8,,2013,1,8,1020,121.49627,25.010213,,2.3,16.7,18.4,7.3,124,,7.8,83.1,2.4,5.5,14.7,71000,1.95,7.4,,,,,,,,,,,,,,,,,,,
淡水河流域,新店溪,台北市,華江大橋,丙,2013/1/8 下午 02:39:00,2013/1/8,,2013,1,8,1021,121.483509,25.034898,,3.3,16.8,18.4,7.2,123,,7.6,81,3.1,8.5,24.3,380000,2.5,7.9,,,,,,,,,,,,,,,,,,,
淡水河流域,景美溪,新北市,昇高大橋(取代深坑中正橋),乙,2013/1/8 上午 10:35:00,2013/1/8,,2013,1,8,1022,121.612852,25.000603,,1,17.9,18.1,7.6,129,,9.3,98.2,1.3,4,5.2,19000,0.34,,,,,,,,,,,,,,,,,,,,
淡水河流域,景美溪,台北市,萬壽橋,丙,2013/1/8 上午 11:25:00,2013/1/8,,2013,1,8,1023,121.572045,24.992053,,2.3,17.6,18.1,7.4,154,,7.8,82.6,2.4,4.5,12.8,420000,1.73,,,,,,,,,,,,,,,,,,,,
淡水河流域,景美溪,台北市,寶橋,丙,2013/1/8 下午 12:05:00,2013/1/8,,2013,1,8,1024,121.553268,24.979266,,2.3,17.6,18.2,7.4,159,,7.8,83.2,2.4,8,13.6,360000,1.78,,,,,,,,,,,,,,,,,,,,
